url,page_class,batch,index_gate_status,http_status,canonical,robots_meta,priority,indexnow_action,google_action,risk_note
https://aggressorbulkit.online/ai-visibility-audit/,money_page,batch01_or_core,200,,https://aggressorbulkit.online/ai-visibility-audit/,,P0,submit,sitemap_gsc_monitor; manual inspection for P0/P1 only,moderate aggressive: only live eligible URLs; no noindex topic expansions; no city/niche drafts
https://aggressorbulkit.online/ai-visibility-diagnostic-audit/,money_page,batch01_or_core,200,,https://aggressorbulkit.online/ai-visibility-diagnostic-audit/,,P0,submit,sitemap_gsc_monitor; manual inspection for P0/P1 only,moderate aggressive: only live eligible URLs; no noindex topic expansions; no city/niche drafts
https://aggressorbulkit.online/technical-seo-geo-foundation/,money_page,batch01_or_core,200,,https://aggressorbulkit.online/technical-seo-geo-foundation/,,P0,submit,sitemap_gsc_monitor; manual inspection for P0/P1 only,moderate aggressive: only live eligible URLs; no noindex topic expansions; no city/niche drafts
https://aggressorbulkit.online/answer-ready-service-pages/,money_page,batch01_or_core,200,,https://aggressorbulkit.online/answer-ready-service-pages/,,P0,submit,sitemap_gsc_monitor; manual inspection for P0/P1 only,moderate aggressive: only live eligible URLs; no noindex topic expansions; no city/niche drafts
https://aggressorbulkit.online/entity-trust-source-intelligence/,money_page,batch01_or_core,200,,https://aggressorbulkit.online/entity-trust-source-intelligence/,,P0,submit,sitemap_gsc_monitor; manual inspection for P0/P1 only,moderate aggressive: only live eligible URLs; no noindex topic expansions; no city/niche drafts
https://aggressorbulkit.online/services/,money_page,batch01_or_core,200,,https://aggressorbulkit.online/services/,,P0,submit,sitemap_gsc_monitor; manual inspection for P0/P1 only,moderate aggressive: only live eligible URLs; no noindex topic expansions; no city/niche drafts
https://aggressorbulkit.online/pricing/,money_page,batch01_or_core,200,,https://aggressorbulkit.online/pricing/,,P0,submit,sitemap_gsc_monitor; manual inspection for P0/P1 only,moderate aggressive: only live eligible URLs; no noindex topic expansions; no city/niche drafts
https://aggressorbulkit.online/knowledge/,knowledge_hub,batch01_or_core,200,,https://aggressorbulkit.online/knowledge/,,P0,submit,sitemap_gsc_monitor; manual inspection for P0/P1 only,moderate aggressive: only live eligible URLs; no noindex topic expansions; no city/niche drafts
https://aggressorbulkit.online/knowledge/ai-visibility-pages/,ctph_hub,batch01_or_core,200,,https://aggressorbulkit.online/knowledge/ai-visibility-pages/,,P0,submit,sitemap_gsc_monitor; manual inspection for P0/P1 only,moderate aggressive: only live eligible URLs; no noindex topic expansions; no city/niche drafts
https://aggressorbulkit.online/knowledge/service-area-pages-and-ai-visibility-for-local-businesses/,ctph_proof,batch01_or_core,200,,https://aggressorbulkit.online/knowledge/service-area-pages-and-ai-visibility-for-local-businesses/,,P0,submit,sitemap_gsc_monitor; manual inspection for P0/P1 only,moderate aggressive: only live eligible URLs; no noindex topic expansions; no city/niche drafts
https://aggressorbulkit.online/knowledge/ai-ready-business-documentation-for-service-pages/,ctph_proof,batch01_or_core,200,,https://aggressorbulkit.online/knowledge/ai-ready-business-documentation-for-service-pages/,,P0,submit,sitemap_gsc_monitor; manual inspection for P0/P1 only,moderate aggressive: only live eligible URLs; no noindex topic expansions; no city/niche drafts
https://aggressorbulkit.online/knowledge/review-sentiment-and-ai-visibility-for-local-businesses/,ctph_proof,batch01_or_core,200,,https://aggressorbulkit.online/knowledge/review-sentiment-and-ai-visibility-for-local-businesses/,,P0,submit,sitemap_gsc_monitor; manual inspection for P0/P1 only,moderate aggressive: only live eligible URLs; no noindex topic expansions; no city/niche drafts
https://aggressorbulkit.online/knowledge/measuring-ai-visibility-without-query-click-data/,ctph_proof,batch01_or_core,200,,https://aggressorbulkit.online/knowledge/measuring-ai-visibility-without-query-click-data/,,P0,submit,sitemap_gsc_monitor; manual inspection for P0/P1 only,moderate aggressive: only live eligible URLs; no noindex topic expansions; no city/niche drafts
